CONTRACT_ID,PLAN_ID,SEGMENT_ID,CONTRACT_NAME,PLAN_NAME,FORMULARY_ID,PREMIUM,DEDUCTIBLE,ICL,MA_REGION_CODE,PDP_REGION_CODE,STATE,COUNTY_CODE,SNP,PLAN_SUPPRESSED_YN
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36110,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36170,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36260,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36280,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36290,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36440,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36480,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36490,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36530,0,N
H0022,1,0,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),18478,0,0,., , ,OH,36580,0,N
